time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi

2023-05-03 12:00:00,10.74,10.32,1024,94,9.81,3.66,357,7.43,100,0.99,5.12,1.11

2023-05-04 12:00:00,12.93,11.98,1021,65,6.52,2.89,70,3.66,14,0.14,0.0,4.41

2023-05-05 12:00:00,15.17,14.15,1022,54,5.97,5.03,72,11.48,97,0,0.0,5.67

2023-05-06 12:00:00,13.63,13.03,1016,76,9.48,6.17,92,8.41,100,1,2.25,3.62

2023-05-07 12:00:00,7.17,4.91,1022,85,4.82,4.74,50,8.04,100,0.26,0.0,1.03

2023-05-08 12:00:00,6.25,2.55,1030,76,2.16,5.83,80,8.53,100,0.01,0.0,1.97

2023-05-09 12:00:00,12.16,10.89,1025,56,3.6,7.6,91,13.7,4,0,0.0,5.53

2023-05-10 12:00:00,17.03,16.04,1017,48,5.95,7.16,89,12.19,24,0,0.0,5.56

2023-05-11 12:00:00,17.04,16.08,1018,49,6.07,8.4,83,12.7,1,0,0.0,5.61

2023-05-12 12:00:00,16.01,15.13,1020,56,7.3,7.71,88,12.87,91,0,0.0,5.21

2023-05-13 12:00:00,14.45,13.57,1023,62,7.1,5.74,89,8.05,100,0.4,0.11,4.69

2023-05-14 12:00:00,16.84,16.12,1018,59,8.62,6.34,94,10.84,86,0.91,0.43,5.44

2023-05-15 12:00:00,12.83,12.52,1007,90,11.14,6.5,255,10.28,96,1,5.78,1.72

2023-05-16 12:00:00,18.31,17.76,1013,60,10.42,3.74,73,7,92,1,3.31,6.03

2023-05-17 12:00:00,10.14,9.72,1016,96,9.54,4.71,302,7.94,100,1,27.86,0.82

2023-05-18 12:00:00,6.18,4.24,1023,91,4.85,4.55,2,9.25,100,1,17.74,1.2

2023-05-19 12:00:00,6.96,6.96,1025,94,6.03,1.61,297,1.89,100,0.97,2.6,1.89

2023-05-20 12:00:00,14.05,13.68,1024,83,11.21,5.79,83,10.36,96,0.49,0.14,2

2023-05-21 12:00:00,19.82,19.45,1018,61,12.1,6.41,85,9.79,13,0.24,0.12,2

2023-05-22 12:00:00,19.9,19.7,1016,67,13.53,6.9,88,9.31,94,0.87,1.39,2






